lambda,weights,accuracy,precision,recall,f1
0,"(0.0, 1.0)",0.82875,0.885630499,0.755,0.81511471
0.05,"(0.05, 0.95)",0.835,0.876404494,0.78,0.825396825
0.1,"(0.1, 0.9)",0.84125,0.884507042,0.785,0.831788079
0.15,"(0.15000000000000002, 0.85)",0.84,0.9,0.765,0.827027027
0.2,"(0.2, 0.8)",0.85,0.886740331,0.8025,0.842519685
0.25,"(0.25, 0.75)",0.845,0.879120879,0.8,0.837696335
0.3,"(0.30000000000000004, 0.7)",0.8475,0.890449438,0.7925,0.838624339
0.35,"(0.35000000000000003, 0.6499999999999999)",0.8575,0.87434555,0.835,0.854219949
0.4,"(0.4, 0.6)",0.87125,0.88976378,0.8475,0.868117798
0.45,"(0.45, 0.55)",0.84375,0.855297158,0.8275,0.841168996
0.5,"(0.5, 0.5)",0.85,0.868421053,0.825,0.846153846
0.55,"(0.55, 0.44999999999999996)",0.85125,0.880758808,0.8125,0.845253576
0.6,"(0.6000000000000001, 0.3999999999999999)",0.8325,0.846354167,0.8125,0.829081633
0.65,"(0.65, 0.35)",0.84375,0.857142857,0.825,0.840764331
0.7,"(0.7000000000000001, 0.29999999999999993)",0.86625,0.870886076,0.86,0.865408805
0.75,"(0.75, 0.25)",0.83875,0.857519789,0.8125,0.834403081
0.8,"(0.8, 0.19999999999999996)",0.86625,0.870886076,0.86,0.865408805
0.85,"(0.8500000000000001, 0.1499999999999999)",0.86,0.885026738,0.8275,0.855297158
0.9,"(0.9, 0.09999999999999998)",0.865,0.884210526,0.84,0.861538462
0.95,"(0.9500000000000001, 0.04999999999999993)",0.8625,0.87371134,0.8475,0.860406091
1,"(1.0, 0.0)",0.86375,0.883905013,0.8375,0.860077022
