lambda,weights,accuracy,precision,recall,f1
0.0,"(0.0, 1.0)",0.83875,0.886039886039886,0.7775,0.8282290279627165
0.05,"(0.05, 0.95)",0.8375,0.875,0.7875,0.8289473684210527
0.1,"(0.1, 0.9)",0.84625,0.9037900874635568,0.775,0.8344549125168237
0.15000000000000002,"(0.15000000000000002, 0.85)",0.8475,0.8756756756756757,0.81,0.8415584415584417
0.2,"(0.2, 0.8)",0.86625,0.8970189701897019,0.8275,0.8608582574772432
0.25,"(0.25, 0.75)",0.8475,0.8777173913043478,0.8075,0.8411458333333333
0.30000000000000004,"(0.30000000000000004, 0.7)",0.87125,0.9068493150684932,0.8275,0.865359477124183
0.35000000000000003,"(0.35000000000000003, 0.6499999999999999)",0.84125,0.8823529411764706,0.7875,0.83223249669749
0.4,"(0.4, 0.6)",0.86125,0.8792650918635171,0.8375,0.8578745198463509
0.45,"(0.45, 0.55)",0.86,0.8956043956043956,0.815,0.8534031413612566
0.5,"(0.5, 0.5)",0.85375,0.8713910761154856,0.83,0.8501920614596671
0.55,"(0.55, 0.44999999999999996)",0.85125,0.8807588075880759,0.8125,0.8452535760728218
0.6000000000000001,"(0.6000000000000001, 0.3999999999999999)",0.84375,0.8787878787878788,0.7975,0.836173001310616
0.65,"(0.65, 0.35)",0.84375,0.8498727735368957,0.835,0.8423707440100883
0.7000000000000001,"(0.7000000000000001, 0.29999999999999993)",0.8475,0.8657894736842106,0.8225,0.8435897435897436
0.75,"(0.75, 0.25)",0.84375,0.868632707774799,0.81,0.8382923673997412
0.8,"(0.8, 0.19999999999999996)",0.85375,0.8618925831202046,0.8425,0.852085967130215
0.8500000000000001,"(0.8500000000000001, 0.1499999999999999)",0.8575,0.8763157894736842,0.8325,0.8538461538461539
0.9,"(0.9, 0.09999999999999998)",0.8525,0.8634020618556701,0.8375,0.850253807106599
0.9500000000000001,"(0.9500000000000001, 0.04999999999999993)",0.8675,0.8788659793814433,0.8525,0.8654822335025381
1.0,"(1.0, 0.0)",0.86375,0.8839050131926122,0.8375,0.8600770218228498
