lambda,weights,accuracy,precision,recall,f1
0.0,"(0.0, 1.0)",0.82875,0.8856304985337243,0.755,0.815114709851552
0.05,"(0.05, 0.95)",0.835,0.8764044943820225,0.78,0.8253968253968254
0.1,"(0.1, 0.9)",0.84125,0.8845070422535212,0.785,0.8317880794701987
0.15000000000000002,"(0.15000000000000002, 0.85)",0.84,0.9,0.765,0.827027027027027
0.2,"(0.2, 0.8)",0.85,0.8867403314917127,0.8025,0.8425196850393701
0.25,"(0.25, 0.75)",0.845,0.8791208791208791,0.8,0.837696335078534
0.30000000000000004,"(0.30000000000000004, 0.7)",0.8475,0.8904494382022472,0.7925,0.8386243386243386
0.35000000000000003,"(0.35000000000000003, 0.6499999999999999)",0.8575,0.8743455497382199,0.835,0.8542199488491049
0.4,"(0.4, 0.6)",0.87125,0.889763779527559,0.8475,0.8681177976952625
0.45,"(0.45, 0.55)",0.84375,0.8552971576227391,0.8275,0.8411689961880559
0.5,"(0.5, 0.5)",0.85,0.868421052631579,0.825,0.8461538461538461
0.55,"(0.55, 0.44999999999999996)",0.85125,0.8807588075880759,0.8125,0.8452535760728218
0.6000000000000001,"(0.6000000000000001, 0.3999999999999999)",0.8325,0.8463541666666666,0.8125,0.8290816326530612
0.65,"(0.65, 0.35)",0.84375,0.8571428571428571,0.825,0.8407643312101911
0.7000000000000001,"(0.7000000000000001, 0.29999999999999993)",0.86625,0.8708860759493671,0.86,0.8654088050314465
0.75,"(0.75, 0.25)",0.83875,0.8575197889182058,0.8125,0.8344030808729139
0.8,"(0.8, 0.19999999999999996)",0.86625,0.8708860759493671,0.86,0.8654088050314465
0.8500000000000001,"(0.8500000000000001, 0.1499999999999999)",0.86,0.8850267379679144,0.8275,0.8552971576227391
0.9,"(0.9, 0.09999999999999998)",0.865,0.8842105263157894,0.84,0.8615384615384616
0.9500000000000001,"(0.9500000000000001, 0.04999999999999993)",0.8625,0.8737113402061856,0.8475,0.8604060913705583
1.0,"(1.0, 0.0)",0.86375,0.8839050131926122,0.8375,0.8600770218228498
