version,timestamp,model_name,accuracy,precision,recall,f1_score
ROS on training data,2024-11-07 15:17:40,Random Forest,86.75,0.9224,0.8025,0.8583
ROS on training data,2024-11-07 15:17:40,Decision Tree,82.88,0.8879,0.7525,0.8146
ROS on training data,2024-11-07 15:17:40,XGBoost,87.38,0.9141,0.825,0.8673
ROS on training data,2024-11-07 15:17:40,Logistic Regression,79.25,0.7683,0.8375,0.8014
ROS on training data,2024-11-07 15:17:40,MLP,67.5,0.9023,0.3925,0.547
ROS on training data,2024-11-07 15:17:40,TabNet,82.12,0.7824,0.89,0.8327
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
No ROS,2024-11-07 15:17:57,Random Forest,86.75,0.9224,0.8025,0.8583
No ROS,2024-11-07 15:17:57,Decision Tree,82.5,0.8916,0.74,0.8087
No ROS,2024-11-07 15:17:57,XGBoost,87.38,0.9141,0.825,0.8673
No ROS,2024-11-07 15:17:57,Logistic Regression,79.25,0.7683,0.8375,0.8014
No ROS,2024-11-07 15:17:57,MLP,67.5,0.9023,0.3925,0.547
No ROS,2024-11-07 15:17:57,TabNet,82.12,0.7824,0.89,0.8327
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ROS on training data,2024-12-04 13:37:32,Random Forest,86.75,0.9224,0.8025,0.8583
ROS on training data,2024-12-04 13:37:32,Decision Tree,82.12,0.8859,0.7375,0.8049
ROS on training data,2024-12-04 13:37:32,XGBoost,87.38,0.9141,0.825,0.8673
ROS on training data,2024-12-04 13:37:32,Logistic Regression,79.25,0.7683,0.8375,0.8014
ROS on training data,2024-12-04 13:37:32,MLP,67.5,0.9023,0.3925,0.547
ROS on training data,2024-12-04 13:37:32,TabNet,82.12,0.7824,0.89,0.8327
