lambda,weights,accuracy,precision,recall,f1
0,"(0.0, 1.0)",0.85625,0.874015748,0.8325,0.852752881
0.05,"(0.05, 0.95)",0.84875,0.860465116,0.8325,0.846251588
0.1,"(0.1, 0.9)",0.85,0.857142857,0.84,0.848484848
0.15,"(0.15000000000000002, 0.85)",0.85,0.862694301,0.8325,0.847328244
0.2,"(0.2, 0.8)",0.85125,0.864935065,0.8325,0.848407643
0.25,"(0.25, 0.75)",0.8425,0.858638743,0.82,0.83887468
0.3,"(0.30000000000000004, 0.7)",0.8525,0.865284974,0.835,0.849872774
0.35,"(0.35000000000000003, 0.6499999999999999)",0.85,0.857142857,0.84,0.848484848
0.4,"(0.4, 0.6)",0.8425,0.856770833,0.8225,0.839285714
0.45,"(0.45, 0.55)",0.85,0.858974359,0.8375,0.848101266
0.5,"(0.5, 0.5)",0.8425,0.853092784,0.8275,0.840101523
0.55,"(0.55, 0.44999999999999996)",0.84375,0.851662404,0.8325,0.841972187
0.6,"(0.6000000000000001, 0.3999999999999999)",0.85875,0.870801034,0.8425,0.856416773
0.65,"(0.65, 0.35)",0.8575,0.872395833,0.8375,0.854591837
0.7,"(0.7000000000000001, 0.29999999999999993)",0.85,0.862694301,0.8325,0.847328244
0.75,"(0.75, 0.25)",0.86125,0.877284595,0.84,0.858237548
0.8,"(0.8, 0.19999999999999996)",0.855,0.871727749,0.8325,0.851662404
0.85,"(0.8500000000000001, 0.1499999999999999)",0.84875,0.866141732,0.825,0.845070423
0.9,"(0.9, 0.09999999999999998)",0.8425,0.856770833,0.8225,0.839285714
0.95,"(0.9500000000000001, 0.04999999999999993)",0.85875,0.865139949,0.85,0.857503153
1,"(1.0, 0.0)",0.8575,0.864795918,0.8475,0.856060606
