lambda_smote,lambda_ctgan,lambda_adasyn,weights,accuracy,precision,recall,f1
0.0,0.0,1.0,"(0.0, 0.0, 1.0)",0.85625,0.8740157480314961,0.8325,0.852752880921895
0.0,0.05,0.95,"(0.0, 0.05, 0.95)",0.85875,0.8727272727272727,0.84,0.8560509554140127
0.0,0.1,0.9,"(0.0, 0.1, 0.9)",0.85875,0.8670076726342711,0.8475,0.8571428571428572
0.0,0.15000000000000002,0.85,"(0.0, 0.15000000000000002, 0.85)",0.8575,0.8685567010309279,0.8425,0.8553299492385786
0.0,0.2,0.8,"(0.0, 0.2, 0.8)",0.8625,0.8737113402061856,0.8475,0.8604060913705583
0.0,0.25,0.75,"(0.0, 0.25, 0.75)",0.8625,0.8756476683937824,0.845,0.8600508905852416
0.0,0.30000000000000004,0.7,"(0.0, 0.30000000000000004, 0.7)",0.85625,0.8607594936708861,0.85,0.8553459119496856
0.0,0.35000000000000003,0.6499999999999999,"(0.0, 0.35000000000000003, 0.6499999999999999)",0.845,0.8631578947368421,0.82,0.8410256410256411
0.0,0.4,0.6,"(0.0, 0.4, 0.6)",0.8475,0.8677248677248677,0.82,0.8431876606683804
0.0,0.45,0.55,"(0.0, 0.45, 0.55)",0.855,0.8717277486910995,0.8325,0.8516624040920717
0.0,0.5,0.5,"(0.0, 0.5, 0.5)",0.8625,0.8776041666666666,0.8425,0.8596938775510203
0.0,0.55,0.44999999999999996,"(0.0, 0.55, 0.44999999999999996)",0.85625,0.8759894459102903,0.83,0.8523748395378691
0.0,0.6000000000000001,0.3999999999999999,"(0.0, 0.6000000000000001, 0.3999999999999999)",0.855,0.8901098901098901,0.81,0.8481675392670157
0.0,0.65,0.35,"(0.0, 0.65, 0.35)",0.86125,0.8812664907651715,0.835,0.8575096277278561
0.0,0.7000000000000001,0.29999999999999993,"(0.0, 0.7000000000000001, 0.29999999999999993)",0.8475,0.8818681318681318,0.8025,0.8403141361256544
0.0,0.75,0.25,"(0.0, 0.75, 0.25)",0.84625,0.8733153638814016,0.81,0.8404669260700389
0.0,0.8,0.19999999999999996,"(0.0, 0.8, 0.19999999999999996)",0.8525,0.8710526315789474,0.8275,0.8487179487179487
0.0,0.8500000000000001,0.1499999999999999,"(0.0, 0.8500000000000001, 0.1499999999999999)",0.86375,0.9008264462809917,0.8175,0.8571428571428572
0.0,0.9,0.09999999999999998,"(0.0, 0.9, 0.09999999999999998)",0.85125,0.9002849002849003,0.79,0.8415446071904128
0.0,0.9500000000000001,0.04999999999999993,"(0.0, 0.9500000000000001, 0.04999999999999993)",0.855,0.8944444444444445,0.805,0.8473684210526315
0.0,1.0,0.0,"(0.0, 1.0, 0.0)",0.865,0.9078212290502793,0.8125,0.8575197889182057
0.05,0.0,0.95,"(0.05, 0.0, 0.95)",0.84875,0.8604651162790697,0.8325,0.8462515883100381
0.05,0.05,0.8999999999999999,"(0.05, 0.05, 0.8999999999999999)",0.85625,0.8607594936708861,0.85,0.8553459119496856
0.05,0.1,0.85,"(0.05, 0.1, 0.85)",0.84375,0.8516624040920716,0.8325,0.8419721871049306
0.05,0.15000000000000002,0.7999999999999999,"(0.05, 0.15000000000000002, 0.7999999999999999)",0.84625,0.8654353562005277,0.82,0.8421052631578947
0.05,0.2,0.75,"(0.05, 0.2, 0.75)",0.855,0.8776595744680851,0.825,0.8505154639175257
0.05,0.25,0.7,"(0.05, 0.25, 0.7)",0.8575,0.8592964824120602,0.855,0.8571428571428571
0.05,0.30000000000000004,0.6499999999999999,"(0.05, 0.30000000000000004, 0.6499999999999999)",0.86125,0.8812664907651715,0.835,0.8575096277278561
0.05,0.35000000000000003,0.5999999999999999,"(0.05, 0.35000000000000003, 0.5999999999999999)",0.85625,0.8701298701298701,0.8375,0.8535031847133757
0.05,0.4,0.5499999999999999,"(0.05, 0.4, 0.5499999999999999)",0.85625,0.88,0.825,0.8516129032258064
0.05,0.45,0.49999999999999994,"(0.05, 0.45, 0.49999999999999994)",0.86875,0.8871391076115486,0.845,0.8655569782330346
0.05,0.5,0.44999999999999996,"(0.05, 0.5, 0.44999999999999996)",0.84875,0.870026525198939,0.82,0.8442728442728442
0.05,0.55,0.3999999999999999,"(0.05, 0.55, 0.3999999999999999)",0.86875,0.8891820580474934,0.8425,0.865211810012837
0.05,0.6000000000000001,0.34999999999999987,"(0.05, 0.6000000000000001, 0.34999999999999987)",0.84375,0.8787878787878788,0.7975,0.836173001310616
0.05,0.65,0.29999999999999993,"(0.05, 0.65, 0.29999999999999993)",0.86375,0.8859416445623343,0.835,0.8597168597168597
0.05,0.7000000000000001,0.2499999999999999,"(0.05, 0.7000000000000001, 0.2499999999999999)",0.85625,0.88,0.825,0.8516129032258064
0.05,0.75,0.19999999999999996,"(0.05, 0.75, 0.19999999999999996)",0.84625,0.8794520547945206,0.8025,0.8392156862745098
0.05,0.8,0.1499999999999999,"(0.05, 0.8, 0.1499999999999999)",0.84875,0.8842975206611571,0.8025,0.8414154652686763
0.05,0.8500000000000001,0.09999999999999987,"(0.05, 0.8500000000000001, 0.09999999999999987)",0.855,0.8901098901098901,0.81,0.8481675392670157
0.05,0.9,0.04999999999999993,"(0.05, 0.9, 0.04999999999999993)",0.8475,0.8861111111111111,0.7975,0.8394736842105264
0.05,0.9500000000000001,-1.1102230246251565e-16,"(0.05, 0.9500000000000001, -1.1102230246251565e-16)",0.855,0.8837837837837837,0.8175,0.8493506493506494
0.1,0.0,0.9,"(0.1, 0.0, 0.9)",0.85,0.8571428571428571,0.84,0.8484848484848485
0.1,0.05,0.85,"(0.1, 0.05, 0.85)",0.855,0.8622448979591837,0.845,0.8535353535353536
0.1,0.1,0.8,"(0.1, 0.1, 0.8)",0.84375,0.8608923884514436,0.82,0.8399487836107554
0.1,0.15000000000000002,0.75,"(0.1, 0.15000000000000002, 0.75)",0.85375,0.8694516971279374,0.8325,0.8505747126436781
0.1,0.2,0.7,"(0.1, 0.2, 0.7)",0.86875,0.8753180661577609,0.86,0.8675914249684741
0.1,0.25,0.65,"(0.1, 0.25, 0.65)",0.84625,0.8560411311053985,0.8325,0.8441064638783271
0.1,0.30000000000000004,0.6,"(0.1, 0.30000000000000004, 0.6)",0.8525,0.8770053475935828,0.82,0.8475452196382428
0.1,0.35000000000000003,0.55,"(0.1, 0.35000000000000003, 0.55)",0.8675,0.8730964467005076,0.86,0.8664987405541562
0.1,0.4,0.5,"(0.1, 0.4, 0.5)",0.855,0.8858695652173914,0.815,0.8489583333333334
0.1,0.45,0.45,"(0.1, 0.45, 0.45)",0.84625,0.8578811369509044,0.83,0.843710292249047
0.1,0.5,0.4,"(0.1, 0.5, 0.4)",0.85375,0.8582278481012658,0.8475,0.8528301886792453
0.1,0.55,0.35,"(0.1, 0.55, 0.35)",0.86375,0.896457765667575,0.8225,0.8578878748370273
0.1,0.6000000000000001,0.29999999999999993,"(0.1, 0.6000000000000001, 0.29999999999999993)",0.86875,0.8851174934725848,0.8475,0.8659003831417624
0.1,0.65,0.25,"(0.1, 0.65, 0.25)",0.8525,0.8831521739130435,0.8125,0.8463541666666666
0.1,0.7000000000000001,0.19999999999999996,"(0.1, 0.7000000000000001, 0.19999999999999996)",0.86625,0.8970189701897019,0.8275,0.8608582574772432
0.1,0.75,0.15000000000000002,"(0.1, 0.75, 0.15000000000000002)",0.85375,0.8814016172506739,0.8175,0.8482490272373541
0.1,0.8,0.09999999999999998,"(0.1, 0.8, 0.09999999999999998)",0.8475,0.8948863636363636,0.7875,0.8377659574468085
0.1,0.8500000000000001,0.04999999999999993,"(0.1, 0.8500000000000001, 0.04999999999999993)",0.84375,0.8808864265927978,0.795,0.8357424441524312
0.1,0.9,0.0,"(0.1, 0.9, 0.0)",0.84625,0.8836565096952909,0.7975,0.8383705650459921
