lambda,weights,accuracy,precision,recall,f1
0.0,"(0.0, 1.0)",0.8225,0.8664772727272727,0.7625,0.8111702127659575
0.05,"(0.05, 0.95)",0.86125,0.9140401146131805,0.7975,0.8518024032042723
0.1,"(0.1, 0.9)",0.86125,0.8980716253443526,0.815,0.8545216251638269
0.15000000000000002,"(0.15000000000000002, 0.85)",0.84625,0.8794520547945206,0.8025,0.8392156862745098
0.2,"(0.2, 0.8)",0.8425,0.88268156424581,0.79,0.8337730870712402
0.25,"(0.25, 0.75)",0.8625,0.8918918918918919,0.825,0.8571428571428571
0.30000000000000004,"(0.30000000000000004, 0.7)",0.83375,0.8739495798319328,0.78,0.8243064729194188
0.35000000000000003,"(0.35000000000000003, 0.6499999999999999)",0.84125,0.8760330578512396,0.795,0.8335517693315858
0.4,"(0.4, 0.6)",0.85,0.8723404255319149,0.82,0.8453608247422681
0.45,"(0.45, 0.55)",0.845,0.8556701030927835,0.83,0.8426395939086294
0.5,"(0.5, 0.5)",0.86875,0.8912466843501327,0.84,0.8648648648648649
0.55,"(0.55, 0.44999999999999996)",0.86,0.8789473684210526,0.835,0.8564102564102565
0.6000000000000001,"(0.6000000000000001, 0.3999999999999999)",0.86,0.8829787234042553,0.83,0.8556701030927835
0.65,"(0.65, 0.35)",0.855,0.865979381443299,0.84,0.8527918781725888
0.7000000000000001,"(0.7000000000000001, 0.29999999999999993)",0.85625,0.8840970350404312,0.82,0.8508430609597925
0.75,"(0.75, 0.25)",0.84875,0.8531645569620253,0.8425,0.8477987421383648
0.8,"(0.8, 0.19999999999999996)",0.835,0.8366834170854272,0.8325,0.8345864661654135
0.8500000000000001,"(0.8500000000000001, 0.1499999999999999)",0.84625,0.8654353562005277,0.82,0.8421052631578947
0.9,"(0.9, 0.09999999999999998)",0.865,0.8705583756345178,0.8575,0.8639798488664988
0.9500000000000001,"(0.9500000000000001, 0.04999999999999993)",0.8575,0.8704663212435233,0.84,0.8549618320610687
1.0,"(1.0, 0.0)",0.8575,0.8647959183673469,0.8475,0.8560606060606061
